,Date,price_bitcoin,open_bitcoin,high_bitcoin,low_bitcoin,vol_bitcoin,Change_bitcoin_%,price_dowjones,open_dowjones,high_dowjones,low_dowjones,vol_dowjones,change_dowjones,price_nasdaq,open_nasdaq,high_nasdaq,low_nasdaq,vol_nasdaq,change_nasdaq,price_sp,open_sp,high_sp,low_sp,change_sp,trend_bitcoins
0,2021-04-14,62795.9,63544.2,64778.0,62557.4,116.57,1.17,33874.69,33668.95,33910.59,33668.95,175.46,0.59,13947.08,14004.07,14033.63,13928.49,439.56,0.35,4141.84,4140.4,4151.97,4138.2,0.01,45.0
1,2021-04-13,63540.9,59863.6,63659.0,59839.4,126.56,6.14,33677.27,33721.16,33741.64,33545.84,330.0,0.2,13996.1,13902.45,14011.51,13902.45,839.45,1.05,4141.59,4130.1,4148.0,4124.43,0.33,45.0
2,2021-04-12,59863.8,59982.1,61259.9,59569.2,81.88,0.19,33745.4,33775.06,33786.19,33665.54,329.02,0.16,13850.0,13854.44,13877.0,13783.95,894.01,0.36,4127.99,4124.71,4131.76,4114.82,0.02,45.0
3,2021-04-11,59978.7,59772.4,60667.1,59250.3,58.2,0.39,33800.6,33526.19,33810.87,33526.19,317.82,0.89,13900.18,13787.01,13905.41,13748.35,785.76,0.51,4128.8,4096.11,4129.48,4095.51,0.77,45.0
4,2021-04-10,59748.4,58127.4,61229.0,57900.0,103.72,2.8,33800.6,33526.19,33810.87,33526.19,317.82,0.89,13900.18,13787.01,13905.41,13748.35,785.76,0.51,4128.8,4096.11,4129.48,4095.51,0.77,46.0
5,2021-04-09,58118.7,58076.8,58890.9,57686.0,59.22,0.07,33800.6,33526.19,33810.87,33526.19,317.82,0.89,13900.18,13787.01,13905.41,13748.35,785.76,0.51,4128.8,4096.11,4129.48,4095.51,0.77,37.0
6,2021-04-08,58077.4,55948.0,58136.7,55721.6,64.78,3.8,33503.57,33469.89,33506.8,33342.64,306.19,0.17,13829.31,13796.89,13830.14,13758.71,870.92,1.03,4097.17,4089.95,4098.19,4082.54,0.42,43.0
7,2021-04-07,55948.7,57996.3,58627.7,55489.3,110.69,3.53,33446.26,33444.98,33521.76,33347.96,279.88,0.05,13688.84,13675.3,13733.03,13653.58,819.48,0.07,4079.95,4074.29,4083.13,4068.31,0.15,36.0
8,2021-04-06,57996.3,59169.0,59487.0,57403.3,77.15,1.69,33430.24,33500.02,33544.79,33380.43,298.31,0.29,13698.38,13681.67,13776.71,13674.28,870.63,0.05,4073.94,4075.57,4086.23,4068.14,0.1,45.0
9,2021-04-05,58993.4,58202.3,59205.1,56842.7,54.13,1.36,33527.19,33222.38,33617.95,33222.38,345.15,1.13,13705.59,13594.9,13720.58,13582.75,916.61,1.67,4077.91,4034.44,4083.42,4034.44,1.44,44.0
10,2021-04-04,58199.9,57059.7,58464.8,56470.6,57.21,2.0,33153.21,33054.58,33167.17,32985.35,318.34,0.52,13480.11,13414.33,13487.08,13404.18,939.16,1.76,4019.87,3992.78,4020.63,3992.78,1.18,36.0
11,2021-04-03,57059.9,58976.8,59770.5,56906.7,68.74,3.25,33153.21,33054.58,33167.17,32985.35,318.34,0.52,13480.11,13414.33,13487.08,13404.18,939.16,1.76,4019.87,3992.78,4020.63,3992.78,1.18,52.0
12,2021-04-02,58977.3,58718.2,60134.9,58466.5,72.37,0.44,33153.21,33054.58,33167.17,32985.35,318.34,0.52,13480.11,13414.33,13487.08,13404.18,939.16,1.76,4019.87,3992.78,4020.63,3992.78,1.18,39.0
13,2021-04-01,58718.3,58763.2,59406.5,58040.7,69.04,0.08,33153.21,33054.58,33167.17,32985.35,318.34,0.52,13480.11,13414.33,13487.08,13404.18,939.16,1.76,4019.87,3992.78,4020.63,3992.78,1.18,41.0
14,2021-03-31,58763.7,58771.4,59795.6,56991.6,98.06,0.01,32981.55,33116.04,33173.77,32980.57,418.64,0.26,13246.87,13122.57,13325.54,13118.38,1.21,1.54,3972.89,3967.25,3994.41,3966.98,0.36,41.0
15,2021-03-30,58771.3,57614.6,59366.9,57077.1,86.21,2.0,33066.96,33127.88,33170.93,32988.92,309.57,0.31,13045.39,13008.8,13075.75,12922.57,983.51,0.11,3958.55,3963.34,3968.01,3944.35,0.32,38.0
16,2021-03-29,57616.2,55764.7,58392.6,54951.1,107.91,3.32,33171.37,33087.55,33259.0,32905.13,351.61,0.3,13059.65,13103.97,13143.41,12968.16,1.06,0.6,3971.09,3969.31,3981.83,3943.25,0.09,44.0
17,2021-03-28,55765.2,55856.9,56504.2,54711.3,58.71,0.17,33072.88,32681.07,33098.83,32681.07,383.45,1.39,13138.72,12996.03,13149.55,12878.72,1.14,1.24,3974.54,3917.12,3978.19,3917.12,1.66,39.0
18,2021-03-27,55862.9,55033.8,56531.1,54010.2,73.87,1.5,33072.88,32681.07,33098.83,32681.07,383.45,1.39,13138.72,12996.03,13149.55,12878.72,1.14,1.24,3974.54,3917.12,3978.19,3917.12,1.66,39.0
19,2021-03-26,55036.1,51317.4,55074.1,51302.0,100.3,7.24,33072.88,32681.07,33098.83,32681.07,383.45,1.39,13138.72,12996.03,13149.55,12878.72,1.14,1.24,3974.54,3917.12,3978.19,3917.12,1.66,36.0
20,2021-03-25,51322.3,52330.0,53175.4,50441.3,143.35,1.92,32619.48,32346.81,32672.69,32071.41,413.49,0.62,12977.68,12844.58,13021.86,12786.81,1.17,0.12,3909.52,3879.34,3919.54,3853.5,0.52,44.0
21,2021-03-24,52325.4,54309.1,57169.4,51725.4,137.91,3.91,32420.06,32470.88,32787.99,32418.15,405.06,0.01,12961.89,13289.24,13292.92,12961.35,1.19,2.01,3889.14,3919.93,3942.08,3889.07,0.55,48.0
22,2021-03-23,54452.5,54117.5,55813.8,52992.3,84.84,0.54,32423.15,32691.5,32753.77,32356.28,388.13,0.94,13227.7,13381.43,13405.14,13202.43,1.19,1.12,3910.52,3937.6,3949.13,3901.57,0.76,34.0
23,2021-03-22,54158.3,57379.3,58379.9,53784.2,95.53,5.62,32731.2,32601.82,32810.35,32512.53,384.32,0.32,13377.54,13278.78,13455.64,13278.78,1.11,1.23,3940.59,3916.48,3955.31,3914.16,0.7,45.0
24,2021-03-21,57383.8,58097.4,58583.8,55583.3,77.47,1.22,32627.97,32858.36,32858.36,32505.07,847.02,0.71,13215.24,13119.9,13252.37,13039.45,2.93,0.76,3913.1,3913.14,3930.12,3886.75,0.06,35.0
25,2021-03-20,58093.4,58084.1,59882.1,57863.0,67.83,0.01,32627.97,32858.36,32858.36,32505.07,847.02,0.71,13215.24,13119.9,13252.37,13039.45,2.93,0.76,3913.1,3913.14,3930.12,3886.75,0.06,39.0
26,2021-03-19,58088.0,57645.0,59448.3,56305.1,83.98,0.75,32627.97,32858.36,32858.36,32505.07,847.02,0.71,13215.24,13119.9,13252.37,13039.45,2.93,0.76,3913.1,3913.14,3930.12,3886.75,0.06,41.0
27,2021-03-18,57656.0,58911.8,60088.0,57099.6,102.62,2.13,32862.3,32928.16,33227.78,32831.25,421.02,0.46,13116.17,13349.2,13384.46,13101.92,1.22,3.02,3915.46,3953.5,3969.62,3910.86,1.48,44.0
28,2021-03-17,58913.5,56892.9,58933.2,54253.2,118.26,3.56,33015.37,32825.52,33047.58,32782.18,391.81,0.58,13525.2,13336.92,13595.0,13272.69,1.18,0.4,3974.12,3949.57,3983.87,3935.74,0.29,44.0
29,2021-03-16,56889.7,55619.5,56889.7,53342.6,128.51,1.97,32825.95,32966.75,32966.75,32778.23,387.91,0.39,13471.57,13523.17,13620.71,13397.08,1.1,0.09,3962.71,3973.59,3981.04,3953.44,0.16,49.0
30,2021-03-15,55791.3,59117.4,60565.9,55088.8,117.71,5.62,32953.46,32798.84,32973.4,32629.75,362.08,0.53,13459.71,13323.47,13460.35,13272.5,1.13,1.05,3968.94,3942.96,3970.08,3923.54,0.65,47.0
31,2021-03-14,59113.7,61192.7,61673.7,59113.7,80.29,3.4,32778.64,32462.4,32793.32,32462.4,348.29,0.9,13319.87,13222.81,13324.69,13158.72,1.09,0.59,3943.34,3924.52,3944.99,3915.21,0.1,64.0
32,2021-03-13,61195.3,57267.4,61795.8,56118.8,134.64,6.86,32778.64,32462.4,32793.32,32462.4,348.29,0.9,13319.87,13222.81,13324.69,13158.72,1.09,0.59,3943.34,3924.52,3944.99,3915.21,0.1,51.0
33,2021-03-12,57265.1,57806.2,58052.3,55134.5,116.96,0.92,32778.64,32462.4,32793.32,32462.4,348.29,0.9,13319.87,13222.81,13324.69,13158.72,1.09,0.59,3943.34,3924.52,3944.99,3915.21,0.1,47.0
34,2021-03-11,57799.5,55851.2,58135.0,54351.8,129.63,3.49,32485.59,32354.5,32661.59,32345.7,402.4,0.58,13398.67,13273.31,13433.62,13246.33,1.19,2.52,3939.34,3915.54,3960.27,3915.54,1.04,52.0
35,2021-03-10,55851.9,54882.7,57328.7,53073.6,140.96,1.77,32297.02,31906.96,32389.5,31906.96,410.23,1.46,13068.83,13234.73,13277.11,13035.44,1.22,0.04,3898.81,3891.99,3917.35,3885.73,0.6,48.0
36,2021-03-09,54879.0,52352.4,54880.6,51941.3,114.06,4.91,31832.74,31892.35,32150.32,31822.64,463.74,0.1,13073.83,12923.07,13151.54,12882.49,1.28,3.69,3875.44,3851.93,3903.76,3851.93,1.42,44.0
